Отрасль экономики;ИНН;Год;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11;x12;x13;x14;x15;x16;x17;x18;x19;x20;x21;x22;x23;x24;x25;x26;x27;x28;x29;x30;x31;x32;x33;x34;x35;reg;kredit;teh;market;staff;psich;ability;turn;finn;Z25;Z35;Bankrupt
Сельское хозяйство;2344003589;2009;0.0;1.0;1.0;0.0;0.5;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.25;0.0;0.0;0.25;0.5;0.0;0.0;0.0;0.0;0.0;1
Сельское хозяйство;2330003003;2009;0.0;1.0;1.0;0.0;0.5;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.25;0.0;0.25;0.5;0.5;0.0;0.0;0.0;0.0;0.0;1
Сельское хозяйство;2303002314;2009;0.0;1.0;1.0;0.0;0.5;0.5;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.5;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.5;0.0;0.25;0.0;0.5;0.0;0.0;0.0;0.0;0.0;1
Сельское хозяйство;2354002930;2009;0.0;1.0;1.0;0.0;0.5;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.25;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;1
Торговля;2312132302;2009;0.0;0.5;1.0;0.0;0.5;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.25;0.5;0.5;0.0;0.0;0.0;0.0;0.0;1
Торговля;2311102344;2009;0.0;1.0;1.0;0.0;0.5;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.25;0.5;0.0;0.0;0.0;0.0;0.0;1
Услуги;2308155297;2009;0.0;1.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.25;0.5;0.0;0.0;0.0;0.0;0.0;1
Обрабатывающее производство;2361008932;2015;0.5;1.0;1.0;0.0;1.0;1.0;0.0;0.25;0.5;0.0;0.5;0.5;0.5;0.5;0.0;1.0;0.0;1.0;0.0;1.0;0.5;1.0;1.0;0.5;0.0;0.0;1.0;0.0;1.0;0.0;0.75;1.0;0.0;0.0;0.0;0.75;0.25;0.25;0.5;0.5;0.5;0.0;0.5;0.25;0.25;0.25;1
Обрабатывающее производство;2361008932;2016;0.5;1.0;1.0;0.75;1.0;1.0;1.0;0.25;0.5;0.0;0.0;0.5;0.0;0.0;0.0;1.0;0.0;0.5;1.0;1.0;0.0;0.5;1.0;0.5;0.0;0.0;1.0;0.0;1.0;0.0;0.75;1.0;0.0;0.0;0.0;1.0;0.5;0.0;0.25;0.5;0.5;0.0;0.5;0.25;0.25;0.25;1
Обрабатывающее производство;2361008932;2017;0.5;1.0;1.0;0.25;1.0;1.0;1.0;0.5;0.5;0.0;0.0;0.5;0.0;0.0;0.0;1.0;0.0;0.5;0.0;1.0;0.0;0.5;1.0;0.5;0.0;0.0;0.0;0.0;1.0;0.0;0.75;1.0;0.0;0.0;0.0;0.75;0.75;0.0;0.25;0.5;0.5;0.0;0.25;0.25;0.25;0.25;1
Обрабатывающее производство;2361008932;2014;0.5;1.0;1.0;0.0;1.0;1.0;1.0;0.25;0.5;0.5;0.5;0.5;0.5;0.5;0.0;1.0;0.0;1.0;0.0;1.0;0.5;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.75;0.0;0.0;0.0;0.75;0.5;0.25;0.5;0.5;0.5;0.0;0.75;0.25;0.25;0.5;1
Обрабатывающее производство;2302009451;2014;0.0;0.5;1.0;0.0;1.0;0.75;0.5;0.5;1.0;1.0;1.0;0.5;1.0;0.0;0.0;1.0;0.0;0.5;0.0;1.0;0.0;0.0;0.0;0.5;0.5;0.0;0.5;0.25;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.5;0.5;0.75;0.5;0.25;0.0;0.0;0.0;0.0;0.25;0.25;0
Обрабатывающее производство;2302009451;2015;0.0;0.5;1.0;0.0;1.0;0.5;0.5;0.25;1.0;1.0;1.0;0.5;0.5;1.0;0.0;1.0;0.0;0.5;0.0;1.0;0.0;0.0;1.0;0.0;0.5;0.0;0.5;0.0;1.0;0.0;0.0;0.5;0.0;0.0;0.0;0.5;0.5;0.75;0.5;0.25;0.5;0.0;0.25;0.0;0.25;0.25;0
Обрабатывающее производство;2302009451;2017;0.0;0.5;1.0;0.25;1.0;0.5;0.5;0.25;1.0;0.0;0.0;0.0;0.5;0.5;0.0;1.0;1.0;0.5;0.0;1.0;0.0;0.0;1.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.5;0.0;0.5;0.25;0.5;0.0;0.0;0.0;0.0;0.25;0
Обрабатывающее производство;2302009451;2009;0.0;0.5;0.5;0.0;1.0;1.0;0.5;1.0;1.0;0.5;0.5;0.5;0.5;1.0;0.0;1.0;0.0;0.5;0.0;1.0;0.0;0.0;1.0;0.5;1.0;0.5;0.0;0.75;0.0;0.0;0.75;1.0;1.0;0.0;0.0;0.5;0.75;0.25;0.5;0.25;0.5;0.5;0.0;0.5;0.25;0.25;0
Сельское хозяйство;2352003110;2015;0.0;0.5;1.0;0.0;0.5;0.25;0.5;0.5;1.0;0.5;0.5;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.5;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.5;0.25;0.5;0.25;1.0;0.0;0.25;0.0;0.25;0.25;0
Сельское хозяйство;2330032163;2015;0.0;0.5;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.25;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;1
Сельское хозяйство;2329018051;2014;0.0;0.5;0.5;0.0;0.0;1.0;1.0;0.5;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.75;0.0;0.5;0.25;0.5;0.0;0.25;0.0;0.0;0.25;0
Сельское хозяйство;2308117196;2009;0.0;0.5;1.0;0.0;0.5;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.5;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.25;0.5;0.0;0.0;0.0;0.0;0.0;1
Сельское хозяйство;2329018051;2009;0.0;0.5;1.0;0.0;0.0;1.0;1.0;1.0;0.5;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.5;0.0;1.0;0.0;0.5;0.0;0.0;0.0;0.0;0.75;0.0;0.25;0.0;0.0;0.0;0.25;0.75;0.25;0.5;0.25;0.5;0.0;0.0;0.0;0.25;0.25;1
Торговля;2320049640;2009;0.0;0.5;1.0;0.0;0.5;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.5;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.25;0.0;0.0;0.25;0.5;0.0;0.0;0.0;0.0;0.0;1
Обрабатывающее производство;2318008608;2015;0.0;0.5;1.0;0.0;0.5;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.75;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.5;0.0;0.0;0.0;0.0;0.0;0.25;0.5;0.25;0.0;0.0;0.5;0.5;0.0;0.5;0.0;0.0;0.25;1
Обрабатывающее производство;2318008608;2016;0.0;1.0;1.0;0.75;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.5;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.5;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.5;0.75;0.25;0.0;0.5;0.5;0.5;0.0;0.75;0.5;0.25;0.25;1
