classification_output_accuracy,classification_output_loss,classification_output_precision,classification_output_recall,classification_output_roc_auc,loss,regression_output_loss,regression_output_mae,regression_output_rmse,val_classification_output_accuracy,val_classification_output_loss,val_classification_output_precision,val_classification_output_recall,val_classification_output_roc_auc,val_loss,val_regression_output_loss,val_regression_output_mae,val_regression_output_rmse,learning_rate
0.6895958781242371,0.5713267922401428,0.8493377566337585,0.6551724076271057,0.7948124408721924,0.5926951766014099,0.3274141848087311,0.3276393711566925,0.3989861309528351,0.8661971688270569,0.45743152499198914,0.8487805128097534,0.9613259434700012,0.9542454481124878,0.47034794092178345,0.25340840220451355,0.2535664737224579,0.30564549565315247,0.0010000000474974513
0.8478074073791504,0.3705088496208191,0.945588231086731,0.8212004899978638,0.9267594218254089,0.432924747467041,0.278011292219162,0.2785187065601349,0.3462706506252289,0.9049295783042908,0.3496059477329254,0.8969072103500366,0.9613259434700012,0.9710615277290344,0.37550023198127747,0.2127619981765747,0.21282170712947845,0.25512316823005676,0.0010000000474974513
0.8761822581291199,0.29668283462524414,0.9406896829605103,0.8710089325904846,0.950591504573822,0.3594120144844055,0.23987823724746704,0.2400447577238083,0.3090258240699768,0.9154929518699646,0.26526588201522827,0.9197860956192017,0.950276255607605,0.9799656867980957,0.2998538613319397,0.17818327248096466,0.17823415994644165,0.22476711869239807,0.0010000000474974513
0.9028375148773193,0.262367844581604,0.9431216716766357,0.9106002449989319,0.9609262347221375,0.3212013244628906,0.2125162035226822,0.21240447461605072,0.2859489917755127,0.9260563254356384,0.2103741466999054,0.9301075339317322,0.9558011293411255,0.9838008880615234,0.2565915882587433,0.16532887518405914,0.16540467739105225,0.22275885939598083,0.0010000000474974513
0.9208942651748657,0.2244589775800705,0.9481193423271179,0.9335887432098389,0.9693049192428589,0.2843853533267975,0.1913183331489563,0.1918991357088089,0.2690447270870209,0.9330986142158508,0.16915062069892883,0.9450549483299255,0.950276255607605,0.9884942770004272,0.22549793124198914,0.15762415528297424,0.15770483016967773,0.22379626333713531,0.0010000000474974513
0.9286328554153442,0.1817099153995514,0.9521963596343994,0.9412515759468079,0.980322003364563,0.2474663257598877,0.17675603926181793,0.17701128125190735,0.25345689058303833,0.9366196990013123,0.15144656598567963,0.9453551769256592,0.9558011293411255,0.9891380071640015,0.20974861085414886,0.1507491022348404,0.15081468224525452,0.22292692959308624,0.0010000000474974513
0.9286328554153442,0.17610226571559906,0.9510309100151062,0.9425287246704102,0.9798967838287354,0.23612529039382935,0.16405089199543,0.16437578201293945,0.24050216376781464,0.9542253613471985,0.1294793337583542,0.95652174949646,0.9723756909370422,0.9919004440307617,0.18930961191654205,0.1406753659248352,0.14065620303153992,0.21361127495765686,0.0010000000474974513
0.944969892501831,0.15728525817394257,0.9556400775909424,0.9629629850387573,0.9831534624099731,0.22003886103630066,0.15655802190303802,0.15700918436050415,0.2330881655216217,0.9401408433914185,0.13188958168029785,0.945652186870575,0.9613259434700012,0.9902912974357605,0.18722625076770782,0.13516534864902496,0.13506391644477844,0.20515713095664978,0.0010000000474974513
0.9466896057128906,0.14650288224220276,0.9615877270698547,0.9591315388679504,0.9861598014831543,0.20753760635852814,0.14853735268115997,0.1491154283285141,0.2232721745967865,0.9436619877815247,0.12831304967403412,0.9508196711540222,0.9613259434700012,0.990210771560669,0.18288429081439972,0.13203135132789612,0.13186655938625336,0.2029215693473816,0.0010000000474974513
0.9544281959533691,0.1305910348892212,0.9679487347602844,0.9642400741577148,0.9893929958343506,0.19377319514751434,0.142727330327034,0.14321063458919525,0.21530267596244812,0.9471830725669861,0.11964935809373856,0.9611111283302307,0.9558011293411255,0.9909616708755493,0.17495407164096832,0.12827931344509125,0.12803713977336884,0.1992691159248352,0.0010000000474974513
0.9621667861938477,0.11668683588504791,0.9719029664993286,0.9719029664993286,0.9911423921585083,0.1804153174161911,0.13593383133411407,0.13619044423103333,0.20631322264671326,0.9507042169570923,0.11523011326789856,0.9664804339408875,0.9558011293411255,0.99144446849823,0.17114007472991943,0.12663576006889343,0.12638282775878906,0.197926327586174,0.0010000000474974513
0.9578675627708435,0.11118945479393005,0.9681122303009033,0.969348669052124,0.9920346736907959,0.1738152951002121,0.13088199496269226,0.13129666447639465,0.201776921749115,0.9507042169570923,0.11802727729082108,0.9664804339408875,0.9558011293411255,0.9916054010391235,0.16838161647319794,0.1192631870508194,0.11898352205753326,0.19162629544734955,0.0010000000474974513
0.9621667861938477,0.1005580946803093,0.9707006216049194,0.9731800556182861,0.9930967092514038,0.16346284747123718,0.12531693279743195,0.12577159702777863,0.19497306644916534,0.9471830725669861,0.11395663768053055,0.9611111283302307,0.9558011293411255,0.9927586913108826,0.164694681763649,0.11786334961652756,0.11757609993219376,0.1872376948595047,0.0010000000474974513
0.9656062126159668,0.08721619844436646,0.9781209826469421,0.9706258177757263,0.9953082203865051,0.1542743295431137,0.12461305409669876,0.1249874010682106,0.19418448209762573,0.9471830725669861,0.1270785629749298,0.9611111283302307,0.9558011293411255,0.9906667470932007,0.171316459774971,0.11495883017778397,0.11471820622682571,0.18246161937713623,0.0010000000474974513
0.9613069891929626,0.09625957906246185,0.9682741165161133,0.9744572043418884,0.994046151638031,0.15862561762332916,0.12196320295333862,0.12237510830163956,0.1911013126373291,0.9366196990013123,0.12786856293678284,0.9453551769256592,0.9558011293411255,0.9915249347686768,0.16984863579273224,0.11257076263427734,0.11229006201028824,0.17815618216991425,0.0010000000474974513
0.970765233039856,0.08577744662761688,0.9770700931549072,0.9795657992362976,0.9950813055038452,0.1509508192539215,0.12093045562505722,0.12134049832820892,0.1883942186832428,0.9366196990013123,0.12411466985940933,0.9453551769256592,0.9558011293411255,0.9910690188407898,0.16537345945835114,0.10875150561332703,0.10845009982585907,0.17328177392482758,0.0010000000474974513
0.970765233039856,0.0745125561952591,0.9746514558792114,0.9821200370788574,0.9966172575950623,0.14176318049430847,0.11815249174833298,0.11856220662593842,0.18582181632518768,0.9471830725669861,0.12395914644002914,0.9611111283302307,0.9558011293411255,0.9911495447158813,0.16218967735767365,0.10423873364925385,0.10386978089809418,0.16777543723583221,0.0010000000474974513
0.9656062126159668,0.0825265571475029,0.9732484221458435,0.9757343530654907,0.9958930611610413,0.14270947873592377,0.11510789394378662,0.11534643173217773,0.18013592064380646,0.9471830725669861,0.11907585710287094,0.9510869383811951,0.9668508172035217,0.9922221899032593,0.15936562418937683,0.10490062832832336,0.10453147441148758,0.16784676909446716,0.0010000000474974513
0.9742046594619751,0.07028733938932419,0.9808428883552551,0.9808428883552551,0.9954324960708618,0.13660496473312378,0.11457225680351257,0.11499957740306854,0.17907854914665222,0.9507042169570923,0.12910987436771393,0.9562841653823853,0.9668508172035217,0.9918736219406128,0.16397252678871155,0.10220667719841003,0.10181327909231186,0.16536353528499603,0.0010000000474974513
0.9733448028564453,0.06937388330698013,0.9820512533187866,0.9782886505126953,0.9970978498458862,0.13502250611782074,0.112762950360775,0.11315426975488663,0.17704257369041443,0.9507042169570923,0.1225263923406601,0.9513513445854187,0.9723756909370422,0.9925709366798401,0.15913096070289612,0.10142545402050018,0.10101921111345291,0.16367845237255096,0.0010000000474974513
0.9828031063079834,0.05344344303011894,0.9872286319732666,0.9872286319732666,0.9984389543533325,0.12348192930221558,0.11094257980585098,0.11132636666297913,0.17559611797332764,0.9436619877815247,0.13219329714775085,0.9508196711540222,0.9613259434700012,0.99018394947052,0.1642148494720459,0.09979316592216492,0.09940014779567719,0.16213448345661163,0.0010000000474974513
0.985382616519928,0.05294487997889519,0.9897698163986206,0.9885057210922241,0.9978827238082886,0.12320701032876968,0.11125848442316055,0.1116664707660675,0.17614614963531494,0.9612675905227661,0.12437297403812408,0.9619565010070801,0.9779005646705627,0.9927855134010315,0.1590644121170044,0.0999322310090065,0.09952875971794128,0.162040114402771,0.0010000000474974513
0.9750645160675049,0.062332045286893845,0.9784263968467712,0.984674334526062,0.9975868463516235,0.1286098212003708,0.11009646952152252,0.11060846596956253,0.17487995326519012,0.9542253613471985,0.1368938535451889,0.95652174949646,0.9723756909370422,0.9917126893997192,0.1658855825662613,0.09859614074230194,0.09819605946540833,0.16017870604991913,0.0010000000474974513
0.979363739490509,0.05396750196814537,0.9834395051002502,0.9859514832496643,0.9980977773666382,0.12297404557466507,0.1098775640130043,0.11022502928972244,0.1741899996995926,0.9542253613471985,0.14307717978954315,0.95652174949646,0.9723756909370422,0.9919808506965637,0.16877436637878418,0.09697873890399933,0.09657429903745651,0.15886908769607544,0.0010000000474974513
0.9845227599143982,0.04251870512962341,0.9885057210922241,0.9885057210922241,0.998979926109314,0.11446674913167953,0.1085173636674881,0.10869228839874268,0.1729878932237625,0.9471830725669861,0.14514406025409698,0.9510869383811951,0.9668508172035217,0.9916054010391235,0.16949579119682312,0.09669747948646545,0.0962740108370781,0.1588621437549591,0.0010000000474974513
0.985382616519928,0.048557840287685394,0.9885203838348389,0.9897828698158264,0.9985177516937256,0.11798859387636185,0.10797534137964249,0.1081930473446846,0.1724213808774948,0.9577465057373047,0.12964598834514618,0.9720670580863953,0.9613259434700012,0.9925442337989807,0.16023488342761993,0.09598570317029953,0.09560883045196533,0.1574835479259491,0.0010000000474974513
0.9862424731254578,0.043618131428956985,0.9897828698158264,0.9897828698158264,0.9988186359405518,0.11485754698514938,0.10812210291624069,0.10840445011854172,0.17239636182785034,0.9542253613471985,0.1380888670682907,0.95652174949646,0.9723756909370422,0.9926514625549316,0.1643984019756317,0.09535550326108932,0.09497315436601639,0.157108336687088,0.0010000000474974513
0.9836629629135132,0.04653912037611008,0.9823232293128967,0.9936143159866333,0.9985799789428711,0.1155037209391594,0.10623930394649506,0.10645319521427155,0.17089232802391052,0.9542253613471985,0.14459937810897827,0.9615384340286255,0.9668508172035217,0.9900230765342712,0.16821743547916412,0.09464432299137115,0.09424438327550888,0.15566903352737427,0.0010000000474974513
0.9845227599143982,0.043601542711257935,0.98975670337677,0.9872286319732666,0.9988773465156555,0.11341816931962967,0.10589947551488876,0.10626550763845444,0.16990771889686584,0.9542253613471985,0.1422620415687561,0.9615384340286255,0.9668508172035217,0.9907203912734985,0.16518792510032654,0.09240593016147614,0.09198979288339615,0.15375611186027527,0.0010000000474974513
0.9871023297309875,0.04578348249197006,0.9897959232330322,0.9910600185394287,0.9988018870353699,0.11206299066543579,0.10491783171892166,0.10530757158994675,0.16919995844364166,0.9436619877815247,0.14442260563373566,0.9508196711540222,0.9613259434700012,0.9901034832000732,0.1657937616109848,0.09087447077035904,0.09046455472707748,0.1514151394367218,0.0010000000474974513
0.9879621863365173,0.034788500517606735,0.9885641932487488,0.9936143159866333,0.9993866682052612,0.10623470693826675,0.10397756099700928,0.10423945635557175,0.16776804625988007,0.9612675905227661,0.1424883008003235,0.9670329689979553,0.9723756909370422,0.9903448820114136,0.16508923470973969,0.09123154729604721,0.09082450717687607,0.15271809697151184,0.0010000000474974513
0.9836629629135132,0.03827134147286415,0.9884910583496094,0.9872286319732666,0.9990706443786621,0.108693428337574,0.10404250770807266,0.10446783155202866,0.16858555376529694,0.9507042169570923,0.15579135715961456,0.9613259434700012,0.9613259434700012,0.9896207451820374,0.17443126440048218,0.0931708887219429,0.09277898818254471,0.15356075763702393,0.0010000000474974513
0.9828031063079834,0.03953126445412636,0.9872286319732666,0.9872286319732666,0.9990253448486328,0.1090349406003952,0.1034054085612297,0.10373169183731079,0.1662691831588745,0.9471830725669861,0.15127664804458618,0.9560439586639404,0.9613259434700012,0.9895671010017395,0.17066553235054016,0.09281232953071594,0.09239404648542404,0.15317970514297485,0.0010000000474974513
0.9871023297309875,0.040472351014614105,0.9860759377479553,0.9948914647102356,0.9988119602203369,0.10865293443202972,0.10205161571502686,0.10221006721258163,0.16471825540065765,0.9471830725669861,0.15971997380256653,0.9560439586639404,0.9613259434700012,0.991283655166626,0.1751294732093811,0.09125562012195587,0.09084446728229523,0.1517677903175354,0.0010000000474974513
0.9905416965484619,0.030108725652098656,0.9948717951774597,0.9910600185394287,0.9995328187942505,0.10158427804708481,0.101587675511837,0.10193904489278793,0.16489872336387634,0.9471830725669861,0.16195480525493622,0.9560439586639404,0.9613259434700012,0.9892184138298035,0.1762712597846985,0.09100773185491562,0.09057114273309708,0.15139906108379364,0.0010000000474974513
0.9896818399429321,0.034206826239824295,0.992337167263031,0.992337167263031,0.998979926109314,0.10378871858119965,0.100830078125,0.1012275367975235,0.16375179588794708,0.9471830725669861,0.15435568988323212,0.9560439586639404,0.9613259434700012,0.9917395114898682,0.1718227118253708,0.091435506939888,0.0910223200917244,0.15121977031230927,0.0010000000474974513
0.985382616519928,0.04188123717904091,0.9885203838348389,0.9897828698158264,0.9983514547348022,0.10853838920593262,0.10040310025215149,0.10077159851789474,0.16428130865097046,0.9507042169570923,0.16831904649734497,0.9562841653823853,0.9668508172035217,0.9903717041015625,0.179214209318161,0.09028369933366776,0.0898565724492073,0.1504393368959427,0.0010000000474974513
0.9896818399429321,0.02759094536304474,0.9885931611061096,0.9961685538291931,0.9996674060821533,0.09830713272094727,0.09944842010736465,0.09976621717214584,0.16241975128650665,0.9507042169570923,0.16798342764377594,0.9613259434700012,0.9613259434700012,0.9883065223693848,0.17911426723003387,0.0889512151479721,0.08855743706226349,0.14888162910938263,0.0010000000474974513
0.9871023297309875,0.033723633736371994,0.9897959232330322,0.9910600185394287,0.9993194341659546,0.10301879793405533,0.10146813094615936,0.10172464698553085,0.16501484811306,0.9507042169570923,0.15969236195087433,0.9613259434700012,0.9613259434700012,0.9900767803192139,0.17416255176067352,0.09014496952295303,0.0897487998008728,0.1509777009487152,0.0010000000474974513
0.9931212663650513,0.02368847467005253,0.9923760890960693,0.9974457025527954,0.9995293617248535,0.09545474499464035,0.09914788603782654,0.09929387271404266,0.16145741939544678,0.9577465057373047,0.1633588671684265,0.9668508172035217,0.9668508172035217,0.9884943962097168,0.1761532574892044,0.08829382061958313,0.08792204409837723,0.14773930609226227,0.0010000000474974513
0.9879621863365173,0.031978681683540344,0.9923175573348999,0.9897828698158264,0.9993312954902649,0.10108615458011627,0.09949136525392532,0.09967461973428726,0.16225190460681915,0.9507042169570923,0.17904645204544067,0.9613259434700012,0.9613259434700012,0.9830498695373535,0.18582035601139069,0.087700754404068,0.08731796592473984,0.14819706976413727,0.0010000000474974513
0.9931212663650513,0.022272691130638123,0.993630588054657,0.9961685538291931,0.9997496008872986,0.09375225752592087,0.0979999527335167,0.09826476126909256,0.16168713569641113,0.9542253613471985,0.17897455394268036,0.95652174949646,0.9723756909370422,0.9833182096481323,0.18430937826633453,0.08662936091423035,0.08621281385421753,0.14715449512004852,0.0010000000474974513
0.9931212663650513,0.025251494720578194,0.99615877866745,0.9936143159866333,0.9995311498641968,0.09588482230901718,0.09832676500082016,0.0986422672867775,0.16139906644821167,0.9507042169570923,0.18045121431350708,0.9613259434700012,0.9613259434700012,0.989406168460846,0.18633311986923218,0.08805900812149048,0.08765936642885208,0.14969965815544128,0.0010000000474974513
0.9905416965484619,0.02443181537091732,0.9923469424247742,0.9936143159866333,0.9997109174728394,0.09476691484451294,0.09759241342544556,0.09777448326349258,0.16067416965961456,0.9471830725669861,0.15932905673980713,0.9560439586639404,0.9613259434700012,0.9863487482070923,0.17202356457710266,0.0859742984175682,0.0855834037065506,0.14611367881298065,0.0010000000474974513
0.9888219833374023,0.03314100578427315,0.9898219108581543,0.9936143159866333,0.9993160963058472,0.09982878714799881,0.09639595448970795,0.0966963917016983,0.1586911976337433,0.9577465057373047,0.14740151166915894,0.9668508172035217,0.9668508172035217,0.9870460629463196,0.16425763070583344,0.0855284258723259,0.08514910936355591,0.14503176510334015,0.0010000000474974513
0.9939810633659363,0.02431800588965416,0.9948979616165161,0.9961685538291931,0.9995546936988831,0.09368597716093063,0.09594087302684784,0.09635299444198608,0.1602562814950943,0.9577465057373047,0.137734055519104,0.9668508172035217,0.9668508172035217,0.9872338771820068,0.15826991200447083,0.08655985444784164,0.08616398274898529,0.1474849283695221,0.0010000000474974513
0.9965606331825256,0.017468899488449097,0.9961783289909363,0.9987228512763977,0.9998874664306641,0.08900136500597,0.09574415534734726,0.0961749479174614,0.15876811742782593,0.9542253613471985,0.1580156534910202,0.9666666388511658,0.9613259434700012,0.9866437911987305,0.17139333486557007,0.08622049540281296,0.08583112061023712,0.1470184177160263,0.0010000000474974513
0.9905416965484619,0.023166004568338394,0.9936061501502991,0.992337167263031,0.9996874332427979,0.09261687099933624,0.09568483382463455,0.09602035582065582,0.15871292352676392,0.9577465057373047,0.14709144830703735,0.9668508172035217,0.9668508172035217,0.9872338175773621,0.164104163646698,0.0863116905093193,0.08592651784420013,0.14652644097805023,0.0010000000474974513
0.9922614097595215,0.019726544618606567,0.9936224222183228,0.9948914647102356,0.9998235702514648,0.09018369764089584,0.09555180370807648,0.09586647152900696,0.15808242559432983,0.9542253613471985,0.1602577120065689,0.9615384340286255,0.9668508172035217,0.9824061989784241,0.1717693954706192,0.0858549177646637,0.0854678526520729,0.14615388214588165,0.0010000000474974513
0.9957007765769958,0.017388245090842247,0.9936548471450806,1.0,0.9998117685317993,0.08759211748838425,0.09396479278802872,0.09442327171564102,0.1573028266429901,0.9507042169570923,0.17236639559268951,0.9562841653823853,0.9668508172035217,0.9843372702598572,0.1783321499824524,0.08279290795326233,0.08236640691757202,0.1423635184764862,0.0010000000474974513
0.9905416965484619,0.025755273178219795,0.9936061501502991,0.992337167263031,0.9994857907295227,0.09317601472139359,0.09419993311166763,0.09445870667695999,0.15687274932861328,0.9542253613471985,0.15997132658958435,0.95652174949646,0.9723756909370422,0.982057511806488,0.17106279730796814,0.08429791033267975,0.08387977629899979,0.14440685510635376,0.0010000000474974513
0.9905416965484619,0.02111862786114216,0.9923469424247742,0.9936143159866333,0.9998000264167786,0.08959715813398361,0.09360284358263016,0.09396786242723465,0.15638118982315063,0.9577465057373047,0.17043662071228027,0.9668508172035217,0.9668508172035217,0.9820308089256287,0.17717960476875305,0.08320838212966919,0.0827978327870369,0.14341938495635986,0.0010000000474974513
